owner,kind,old_name,new_name
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue","FIELD","queued","waitingTeams"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue","METHOD","onRoomInfo","onRoomBattleDetails"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue","METHOD","onPlayerDisconnect","onParticipantDisconnect"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue","METHOD","playerObject","participantObject"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue","METHOD","describeRejections","describeViolations"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue$Refused","FIELD","message","document"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","FIELD","pendingAuthOpens","waitingChunksAuthOpens"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","FIELD","chatWatchersReported","chatObserversReported"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","playerOf","participantOf"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","openPendingAuth","openWaitingChunksAuth"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","onMessage","onDocument"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","closeSpectatorMirror","closeReplayViewMirror"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","announceSignOut","announceSignOutputStream"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","reportChatWatchers","reportChatObservers"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","onServerThreadWithPlayer","onServerThreadWithParticipant"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","withPlayer","withParticipant"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService","METHOD","tellPlayer","tellParticipant"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","localPlayerUuid","localParticipantUuid"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","secondLocalPlayerUuid","secondLocalParticipantUuid"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","authoritative","sourceOfTruth"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","spectator","replayView"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","watchers","observers"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","info","battleDetails"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle","FIELD","secondInfo","secondBattleDetails"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteTeamCodec","FIELD","speciesByShowdownId","speciesTemplateByShowdownId"
"xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteTeamCodec","METHOD","speciesLookup","speciesTemplateLookup"
"xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreen","FIELD","PLAYER_Y","PARTICIPANT_Y"
"xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreen","FIELD","PLAYER_TEXT","PARTICIPANT_TEXT"
"xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreen","METHOD","drawPlayerName","drawParticipantName"
"xiaocaoawa/minecraft/mod/cobblebattle/client/ChatPanel","METHOD","drawScrollHint","drawScrollOffsetsHint"
"xiaocaoawa/minecraft/mod/cobblebattle/client/ChatRoomScreen","FIELD","scroll","scrollOffsets"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","PLAYER_X","PARTICIPANT_X"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","PLAYER_SIZE","PARTICIPANT_SIZE"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","POKEMON_X","CREATURE_X"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","POKEMON_Y","CREATURE_Y"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","POKEMON_W","CREATURE_W"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","POKEMON_H","CREATURE_H"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","pokemonState","creatureState"
"xiaocaoawa/minecraft/mod/cobblebattle/client/LeaderboardScreen","FIELD","pokemonScale","creatureScale"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","PLAYER_X","PARTICIPANT_X"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","PLAYER_SIZE","PARTICIPANT_SIZE"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","POKEMON_X","CREATURE_X"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","POKEMON_W","CREATURE_W"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","pokemonState","creatureState"
"xiaocaoawa/minecraft/mod/cobblebattle/client/MainMenuScreen","FIELD","pokemonScale","creatureScale"
"xiaocaoawa/minecraft/mod/cobblebattle/client/RoomLobbyScreen","FIELD","SCROLL_X","SCROLLOFFSETS_X"
"xiaocaoawa/minecraft/mod/cobblebattle/client/RoomLobbyScreen","FIELD","SCROLL_W","SCROLLOFFSETS_W"
"xiaocaoawa/minecraft/mod/cobblebattle/client/RoomScreen","FIELD","PLAYER_SIZE","PARTICIPANT_SIZE"
"xiaocaoawa/minecraft/mod/cobblebattle/client/RoomScreen","FIELD","POKEMON_OFFSET","CREATURE_OFFSET"
"xiaocaoawa/minecraft/mod/cobblebattle/client/TeamPreviewScreen","FIELD","PLAYER_SIZE","PARTICIPANT_SIZE"
"xiaocaoawa/minecraft/mod/cobblebattle/client/TeamPreviewScreen","METHOD","drawPokemon","drawCreature"
"xiaocaoawa/minecraft/mod/cobblebattle/client/TeamPreviewScreen","METHOD","speciesName","speciesTemplateName"
"xiaocaoawa/minecraft/mod/cobblebattle/dex/RemoteDex","FIELD","species","speciesTemplate"
